,text_review,tag,bin_tag,num_upper,text_pos,num_tokens
0,it is a little light on instructions such as how to stop save and continue at a later time but it worked just fine very thorough,2.0,1.0,0,PRP VBZ DT JJ NN IN NNS JJ IN WRB TO VB VB CC VB IN DT JJ NN CC PRP VBD RB JJ RB JJ,26
1,looks so nice in my pool bath,1.0,0.0,0,VBZ RB JJ IN PRP$ NN NN,7
2,first unit did not work mechanically it was fine but my droid would not charge while cradled received a replacement unit and everything is cool now it is great having it car-docked while using the gps listening to tunes whatever,2.0,1.0,1,RB NN VBD RB VB RB PRP VBD JJ CC PRP$ NN MD RB VB IN VBN VBD DT NN NN CC NN VBZ JJ RB PRP VBZ JJ VBG PRP JJ IN VBG DT NNS VBG TO NNS WDT,40
3,for the first time in my life i am actually getting compliments on my shoes i have had two people ask me what they are and where i got them these are comfortable no tired feet at the end of a casual day my only recommendation would be to order a half size small because they do tend to run a little long,0.0,0.0,0,IN DT JJ NN IN PRP$ NN FW VBP RB VBG NNS IN PRP$ NNS FW VBP VBN CD NNS VB PRP WP PRP VBP CC WRB FW VBD PRP DT VBP JJ DT JJ NNS IN DT NN IN DT JJ NN PRP$ JJ NN MD VB TO VB DT NN NN JJ IN PRP VBP VB TO VB DT JJ JJ,63
4,really soft look really beautiful on my sons white crib and do prevent teeth marks on the wood,1.0,0.0,7,RB JJ NN RB JJ IN PRP$ NNS JJ NN CC VBP VB NNS NNS IN DT NN,18
5,i purchased mcafee total protection last week and after five hours of live chat tech support two minutes minumum between responses i was still unable to get this software to install first they blamed it on an earlier version of mcafee then it was a ca etrust virus program then it was my earlier version of mcafee again they have no clue even worse phone-in tech support costs three per minute i was then refered to email tech support but they will not answer my emails this product was free after rebates but i still had to return it i felt like they should pay me after the headaches this cost me,0.0,0.0,1,LS VBD NN JJ NN JJ NN CC IN CD NNS IN JJ NN NN NN CD NNS NN IN NNS FW VBD RB JJ TO VB DT NN TO VB RB PRP VBD PRP IN DT JJR NN IN NN RB PRP VBD DT MD VB NN NN RB PRP VBD PRP$ JJR NN IN NN RB PRP VBP DT NN RB JJR NN NN NN NNS CD IN NN FW VBD RB VBN TO VB NN NN CC PRP MD RB VB PRP$ NNS DT NN VBD JJ IN NNS CC FW RB VBD TO VB PRP FW VBD IN PRP MD VB PRP IN DT NNS DT NN PRP,112
6,useful addition to my gear,1.0,0.0,0,JJ NN TO PRP$ NN,5
7,i would not recommend for transitioning a newborn from breast to bottle it is too awkward for my little one to latch on to and is really hard to open-especially if you are holding your baby and trying to get their bottle ready just did not work fir us,1.0,0.0,0,LS MD RB VB IN VBG DT JJ IN NN TO VB PRP VBZ RB JJ IN PRP$ JJ CD TO VB IN TO CC VBZ RB JJ TO RB IN PRP VBP VBG PRP$ NN CC VBG TO VB PRP$ NN JJ RB VBD RB VB NN PRP,49
8,just the right size and the shoulder bag has the piggyback strap that i had been looking for my one complaint is that the shoulder bag is jus a smidge too small and the seem came loose in a small part the fist time i ever used it nice set overall that rolls well,2.0,1.0,0,RB DT JJ NN CC DT NN NN VBZ DT NN NN WDT FW VBD VBN VBG IN PRP$ CD NN VBZ IN DT NN NN VBZ NN DT NN RB JJ CC DT VBP VBD RB IN DT JJ NN DT NN NN FW RB VBN PRP JJ NN NN WDT VBZ RB,54
9,this case fits my canon elph one hundred hs very nicely it is a soft case so it does not offer bomb-proof storage but it is got some padding and gives a fair bit of extra protection there is a pouch on the front big enough to hold a spare sd card not much else to say about it,2.0,1.0,2,DT NN VBZ PRP$ NN NN CD CD NNS RB RB PRP VBZ DT JJ NN IN PRP VBZ RB VB JJ NN CC PRP VBZ VBD DT NN CC VBZ DT JJ NN IN JJ NN EX VBZ DT NN IN DT NN JJ RB TO VB DT JJ NN NN RB JJ RB TO VB IN PRP,59
