,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2,1,2,1,3,1,2,2,2,2,3,3,1,2,3,2
3,3,2,4,2,4,3,4,3,3,4,3,3,4,4,3
4,4,2,3,4,3,3,4,4,3,4,4,2,3,4,3
5,1,2,1,2,2,1,2,2,3,2,3,1,2,2,2
6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
7,1,2,2,2,2,2,2,2,3,2,3,1,2,1,1
8,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
9,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3
10,4,3,3,3,4,3,4,3,4,3,3,3,3,3,3
11,3,3,3,3,3,2,4,3,4,3,3,3,3,4,3
12,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4
13,2,2,1,2,1,2,2,3,3,2,3,2,1,2,3
14,4,4,4,3,4,2,4,4,4,4,4,4,3,4,4
15,3,2,2,2,2,2,1,3,1,2,3,2,1,3,2
16,3,2,3,2,1,2,3,4,4,2,4,2,2,3,4
17,3,3,3,3,3,3,4,4,4,3,4,3,3,4,3
18,3,2,2,1,3,2,3,2,2,2,3,2,2,4,1
19,2,2,1,2,2,2,2,3,3,2,3,2,2,3,1
20,3,2,1,2,1,1,2,2,2,2,3,1,2,2,1
21,3,3,3,3,3,3,4,4,3,3,3,3,2,4,4
