,text_review,annot_1,annot_2,confidence /10
0,"It's really nice, light and compact but the opening and closing is moving up and down very tightly. Even at wide opened clamp. Have been scared to force it since the clamp is plastic and afraid it would snap at some point.",c,d,8
1,great,a,a,10
2,Very nice. Well crafted,b,b,10
3,"Simply amazing!  I used it on my Glock 30, really looks and feels great.",c,c,10
4,This is my favorite cyanoacrylate gap filling glue. The only problem is the tip gets clogged between each use and you run the risk of tearing the tip off when the black cap gets very stuck. This seems to be a common shortcoming of most cyanoacrylate glues. They stick so well there is no way to protect the opening.,c,d,10
5,The hooks are very convenient for hanging extra bags on a stroller. They work very well with Chicco Cortina stroller travel system.,c,d,10
6,good happy with them,b,b,8
7,"VEry well done documentaries. If you are interested in History, psychology or just interested in how People function, get this disk set. Packed with lots of interesting information that can help you form a more definitive view of human nature.",c,d,10
8,Excellent movies Kathy Bates is one of my favorite actresses,b,b,5
9,Is not a good deal when you pay for new and you receive a used item... Anything else about the headphones &#34;Excellent&#34;.,b,b,8
10,"Great to add to my collection.
Especially the season finale.
What a nice tribute!",b,b,8
11,"This is supposed to fit with 200x100mm but it doesn't line up. This is the 2nd peerless that is wrong in the description, beware. I have other peerless mounts that work great. This one is mainly a 200x200.",c,c,5
12,"This item works. A little too well. I survived an additional 9 days while house hunting with one of these. Also Garlic a Fries may have played a role in doing so.
More at insta: earthen_religion",b,b,8
13,"Playing with scores is completely optional. Played many times with fellow adults, and it was fast/easy/loud enough that none of us cared about keeping score -- we just liked to play the rounds. The minute that starts to get boring, however, you can add strategy and start keeping the scores.<br /><br />Also, adjusts easily to different size groups, and is simple enough that rules / play can be modified, if you desire something more clever.",d,d,10
14,"Both the film and this new DVD edition from Fear Factory are 5 star efforts. The movie is an enjoyable and creepy little tale about an old goon who makes Silver Shamrock masks that causes mutations for those who wear them. It reminded me of the Creepshow films and personally I found it really inventive. Personally I consider it a plus that it didn't feature the dull Michael Myers again and would probably be much better thought of if it didn't have the Halloween series badge hanging over it.

This amazing new DVD edition contains many new extra features that were not on the previous releases. These include 2 audio commentaries, an extensive 'making of' documentary and a visit to the filming locations (and more!)

I think time has been kind to Halloween 3 and I hope that as it is looking and sounding better than ever, more people will re-evaluate this dark little tale and get as much enjoyment from it as I do.",d,d,10
15,"Bought these so that it would help keep the water in the tube colder during my hikes. Nothing like having ice cold water in the hydration pack but your first drink it hot as you suck on the tubing to get a drink. After installing it, I tried it out and it really didn't make a difference. Water was still warm and had to spit it out and draw on tubing to get to cold water. When you're on long hikes, all the water you carry it precious. It was worth a try but wouldn't recommend it.",c,c,6
16,"Cool vintage horror movie, up there with the Blob!",b,b,8
17,They tear very easy while you punch the cutouts out.,b,c,5
18,"A while ago I gave this product a 2/5 and basically crapped on it because I misunderstood what I wanted from it. I had figured that this product, touting its ""EMI/RFI attenuation"", would eliminate the interference I was experiencing on my studio monitors, and was quite upset when it failed to deliver.

A year or so later, I managed to finally fix the interference by fixing an issue entirely unrelated to the power supply. Oops.

I was prepared to just throw a 4/5 at this by way of apology and call it even, but I actually ended up buying a couple more of these when I needed to find a road-portable power strip that I wouldn't have to babysit or worry about.

...on second thought, maybe it's not entirely worry-free: I'd be plenty concerned about the well-being of anything that collides with this monster.

If you're looking for an absolute tank of a power strip (or an armor-piercing flail) and don't foolishly expect it to perform and miracles beyond ""provides six grounded surge-protected sockets while being indestructible"", look no further, Furman's got you.",c,c,5
19,"Good picture, but longer than needed.",b,b,8
20,"Daft Punk is one of my all time favorites.  Their 4 singles and video series for them were genius and amazing, but 3 stars was probably generous for this cd because it disappointed me a little.  I'm still confused about whether they are treating this as \\""a new album\\"" since it was so marketed in the US (unlike Alive 1997).  If they are, it was a dissapointment, if it was meant to be a bunch of extended, clublike versions of their previous songs, then it's alright.  Dont get me wrong, the only new songs on the album, Ouverture and Aerodynamite are great and distinct style like Discovery Daft Punk, but the club mixes and experimental songs I could do without.  Parts of the club mixes are great, but they repeat and run on like an average techno song, something I've never known Daft Punk for.  The American influence is clear on this album too with the presence of rap on the Neptunes Remix and Slum Village.  Both songs are terrible and I try to forget that Aerodynamic was destroyed and rap put over it.  I also have to mention that the Romanthony Version of One More Time is possibly the worst song I ever heard, and I'm quite surprised its even on the cd with how bad the singing is.  Artists change, but this wasnt change, it just kinda seemed like they were trying to get you to spend money.  To top it off, I thought I'd finally have access to their website (only people who buy their cds can go there) and when I loaded the cd it took me to a webpage advertising their Interstella 5555 figurines, forcing me to sign up for some advertising scheme for it.  Kinda disappointed but Im trying to tell myself this was just to hold us over for now.",c,d,10
21,"The curtain was larger and better quality than the ones I had previously purchased at Bed, Bath & Beyond. I am very satisfied",c,c,10
22,"It's adorable, well made for the price and practical. The boxes stack nicely and it takes up a minimum amount of counter space.",c,d,8
23,it tarnished real bad,b,b,5
24,"I like this little vacuum,. Does great job. I clean cars all the time as I am a car dealer and the clear suction screen allows you to see if you are still pulling up dirt or if the area is permanently stained and you are just sucking up clean water. The hose croaked fated about 10 uses. I taped it up but now it's broken in so many places. Will look for another hose.",c,d,9
25,"Nice, and beautiful, thank you",b,a,8
26,Nice quality and certainly a great price. Packaging done well. Fast shipping. Most cameras don't use this type battery anymore but I like my old timer and glad I can still use it.,c,d,8
27,Very lovely and petite! The stone color is pretty without being garish.I will get alot of wear from these! Fast ship too!,c,d,6
28,"Got these for an airplane trip with our 1yr old son to keep the captain's random chatter from waking him up. Worked well, and my sun loves popping them on and running around the house with them occasionally.",c,b,9
29,Watch this movie and then take a look at the world around you.  Kind of scary.,b,a,5
30,FAST AND EFFICIENT,b,b,10
31,Not bad,a,a,9
32,"It's a fun movie. There's a lot that hints at areas that I'm sure get much more deep attention in the book. Having seen the movie, I'm sorry not to have read the book first.",c,c,10
33,Am very impressed with the quality and features of this wallet. Very quick delivery and great communication during the transaction.<br />I would recommend this to anyone needing a wallet 100%. Thank you very much.,d,d,5
34,"These are great comedy movies with good writing of story lines, believable situations and the right amount of ""edge of your seat"" what if's.",c,d,5
35,although it was hard to assemble I really like it needs some improvement and needs to be able to hold the big giant yarn or one pounder yarn. I couldn't put it together myself I had to have my son in-law do it and he me said it was very cheep but so far I have had no problems I think it is made to cheep but so far I love it and got it really fast. so I am happy with it. If you make a better one already assemble please let me know I would buy another one.,c,c,8
36,"Oh my, such quick and pretty cards I make with these.",b,b,10
37,"The Vaughn and Wilson buddy comedies are starting to get a little old.  Although a totally different plot, it felt almost as if I was watching Wedding Crashers.",b,c,7
