,text_review,tag,bin_tag,text_pos,lemmas,num_tokens
0,i'ts what i needed,1.0,0.0,LS `` NNS WDT FW VBN,i ` t what i need,4
1,the boots are great one thing wrong with them are the insoles way too thick so i removed them and put some thin ones in and now they are comfortable a good orthotic helps another thing wrong with them is the sole can get slick even with the amount of lugs on them they still slide around a bit i can pic and choose when i wear them so i dont mind the slick sole so to summerize they are worth the money and i woujld recommend bates brand to all who want a good boot,2.0,1.0,DT NNS VBP JJ CD NN JJ IN PRP VBP DT NNS NN RB JJ IN FW VBD PRP CC VB DT JJ NNS IN CC RB PRP VBP JJ DT JJ NN VBZ DT NN JJ IN PRP VBZ DT NN MD VB JJ RB IN DT NN IN NNS IN PRP PRP RB VBP IN DT NN FW MD VB CC VB WRB FW VB PRP RB FW FW NN DT JJ JJ RB TO VB PRP VBP JJ DT NN CC FW FW VB NNS NN TO DT WP VBP DT JJ NN,the boot be great one thing wrong with they be the insole way too thick so i remove they and put some thin one in and now they be comfortable a good orthotic help another thing wrong with they be the sole can get slick even with the amount of lug on they they still slide around a bit i can pic and choose when i wear they so i dont mind the slick sole so to summerize they be worth the money and i woujld recommend bate brand to all who want a good boot,96
2,just as described shipping times were good considering where these were coming from they seem to fit a little more snug in both the charger and heli but sometimes that is a good thing it does add a bit more flight time,2.0,1.0,RB IN VBN NN NNS VBD JJ VBG WRB DT VBD VBG IN PRP VBP TO VB DT RB RBR JJ IN CC DT NN CC NNS CC RB DT VBZ DT JJ NN PRP VBZ VB DT NN RBR NN NN,just as describe shipping time be good consider where these be come from they seem to fit a little more snug in both the charger and helus but sometimes that be a good thing it do add a bit more flight time,42
3,good case for note four,1.0,0.0,JJ NN IN NN CD,good case for note four,5
4,its absolutely necessary and extremely breathable we have used this in every place every weather when it is a bit humid or hot we will still cover our baby for her to sleep and then after she falls asleep we will cover her only half way so that she will not be too hot,2.0,1.0,PRP$ RB JJ CC RB JJ PRP VBP VBN DT IN DT NN DT NN WRB PRP VBZ DT NN JJ CC JJ PRP MD RB VB PRP$ NN IN PRP$ TO VB CC RB IN PRP VBZ RB PRP MD VB PRP$ JJ NN NN IN IN PRP MD RB VB RB JJ,its absolutely necessary and extremely breathable we have use this in every place every weather when it be a bit humid or hot we will still cover we baby for she to sleep and then after she fall asleep we will cover she only half way so that she will not be too hot,54
5,i loved their songs back when they originally came out however after twenty songs in a row they began to sound the same the recording is good,2.0,1.0,LS VBD PRP$ NNS RB WRB PRP RB VBD RP RB IN CD NNS IN DT NN PRP VBD TO VB DT JJ DT NN VBZ JJ,i love they song back when they originally come out however after twenty song in a row they begin to sound the same the recording be good,27
6,cool little collectables my daughter loves it this figure stands a little taller than the rocket raccoon one very well crafted the details on it are amazing and the coloring was very well done,2.0,1.0,JJ JJ NNS PRP$ NN VBZ PRP DT NN VBZ DT JJ JJR IN DT NN NN CD RB RB VBD DT NNS IN PRP VBP JJ CC DT VBG VBD RB RB VBN,cool little collectable my daughter love it this figure stand a little taller than the rocket raccoon one very well craft the detail on it be amazing and the color be very well do,34
7,when i heard this album for a few years ago i liked it now an old good friend sent it to me i realy like it jusy thinking about what it should be to be there now thirty-five years past since i left the islnds,1.0,0.0,WRB FW VBN DT NN IN DT JJ NNS IN FW VBD PRP RB DT JJ JJ NN VBD PRP TO PRP FW FW IN PRP JJ VBG IN WP PRP MD VB TO VB RB RB CD NNS IN IN FW VBD DT NNS,when i hear this album for a few year ago i like it now a old good friend send it to I i realy like it jusy think about what it should be to be there now thirty-five year past since i leave the islnd,45
8,one of the reasons i bought a smart phone was to be able to use an app like this have used in the store and at home a beautiful thing,1.0,0.0,CD IN DT NNS FW VBD DT JJ NN VBD TO VB JJ TO VB DT NN IN DT VBP VBN IN DT NN CC IN NN DT JJ NN,one of the reason i buy a smart phone be to be able to use a app like this have use in the store and at home a beautiful thing,30
9,i prefer our kids to be up and about and active but every so often one every two three months we all need them to quietly play at the computer my kids six and four are both comfortable navigating this game and can both find success as they soak up a wide range of facts about the planets simple addition and subtraction rhyming words we could not have asked for a better edutaining product,2.0,1.0,FW VBP PRP$ NNS TO VB RB CC RB CC JJ CC DT RB RB CD DT CD CD NNS PRP DT VBP PRP TO RB VB IN DT NN PRP$ NNS CD CC CD VBP DT JJ VBG DT NN CC MD DT VB NN IN PRP VBP RP DT JJ NN IN NNS IN DT NNS JJ NN CC NN NN NNS PRP MD RB VB VBN IN DT JJR NN NN,i prefer we kid to be up and about and active but every so often one every two three month we all need they to quietly play at the computer my kid six and four be both comfortable navigate this game and can both find success as they soak up a wide range of fact about the planet simple addition and subtraction rhyming word we could not have ask for a better edutaining product,74
10,i am enjoying this version of solitare and have been able to earn enough money to keep playing although i would not pay to play,1.0,0.0,FW VBP VBG DT NN IN NN CC VBP VBN JJ TO VB JJ NN TO VB VBG IN FW MD RB VB TO VB,i be enjoy this version of solitare and have be able to earn enough money to keep play although i would not pay to play,25
11,did not work as expected,1.0,0.0,VBD RB VB IN VBN,do not work as expect,5
